2026-02-28 19:43:34,932 INFO: n_caps=1 | minZ=0.095240 | placement={15: 1014}
2026-02-28 19:44:14,788 INFO: n_caps=2 | minZ=0.056602 | placement={0: 1014, 6: 2668}
2026-02-28 19:44:56,063 INFO: n_caps=3 | minZ=0.064293 | placement={9: 1014, 0: 2565, 10: 0}
2026-02-28 19:45:37,302 INFO: n_caps=4 | minZ=0.046513 | placement={0: 1014, 9: 2565, 7: 0, 5: 1672}
2026-02-28 19:46:19,765 INFO: n_caps=5 | minZ=0.058030 | placement={9: 1014, 7: 2565, 5: 0, 0: 1672, 6: 0}
2026-02-28 19:47:04,158 INFO: n_caps=6 | minZ=0.056647 | placement={0: 736, 15: 1414, 9: 3145, 5: 1713, 16: 1413, 14: 3025}
2026-02-28 19:47:48,763 INFO: n_caps=7 | minZ=0.051952 | placement={14: 2332, 0: 1635, 15: 886, 9: 2485, 5: 685, 10: 13, 6: 760}
2026-02-28 19:48:34,034 INFO: n_caps=8 | minZ=0.052145 | placement={0: 2332, 15: 1635, 9: 886, 5: 2485, 10: 685, 6: 13, 7: 760, 14: 2480}
2026-02-28 19:49:20,098 INFO: n_caps=9 | minZ=0.049111 | placement={15: 2332, 9: 1635, 5: 886, 10: 2485, 6: 685, 7: 13, 14: 760, 0: 2480, 16: 165}
2026-02-28 19:50:06,705 INFO: n_caps=10 | minZ=0.049812 | placement={5: 2272, 9: 1604, 10: 997, 3: 2494, 7: 582, 13: 0, 0: 799, 12: 2451, 6: 173, 17: 3056}
2026-02-28 19:50:56,432 INFO: n_caps=11 | minZ=0.050876 | placement={0: 1300, 1: 1883, 15: 1562, 16: 1016, 5: 1015, 2: 2510, 3: 2313, 10: 896, 19: 3347, 11: 2801, 14: 1261}
2026-02-28 19:51:45,762 INFO: n_caps=12 | minZ=0.047599 | placement={16: 1781, 7: 3339, 6: 1501, 5: 186, 13: 1043, 9: 2770, 18: 1645, 2: 2207, 14: 2830, 15: 601, 0: 899, 10: 876}
2026-02-28 19:52:36,483 INFO: n_caps=13 | minZ=0.049924 | placement={8: 1958, 3: 3347, 5: 910, 6: 1299, 9: 1073, 18: 3347, 2: 1590, 10: 1263, 13: 2059, 0: 1940, 14: 1179, 7: 671, 1: 2817}
2026-02-28 19:53:30,715 INFO: n_caps=14 | minZ=0.041268 | placement={0: 1012, 20: 2989, 19: 859, 6: 1029, 18: 1650, 17: 0, 1: 3099, 2: 1530, 16: 245, 10: 2493, 9: 1337, 15: 2506, 14: 850, 3: 3347}
