2026-02-28 14:48:19,339 INFO: n_caps=1 | minZ=0.085029 | placement={0: 1316}
2026-02-28 14:48:59,861 INFO: n_caps=2 | minZ=0.070627 | placement={0: 1300, 16: 1135}
2026-02-28 14:49:38,120 INFO: n_caps=3 | minZ=0.059602 | placement={16: 1779, 0: 1014, 10: 15}
2026-02-28 14:50:14,498 INFO: n_caps=4 | minZ=0.049210 | placement={0: 1014, 7: 1089, 20: 0, 16: 2154}
2026-02-28 14:50:52,097 INFO: n_caps=5 | minZ=0.061068 | placement={0: 1282, 15: 1489, 1: 853, 13: 392, 5: 862}
2026-02-28 14:51:29,571 INFO: n_caps=6 | minZ=0.057831 | placement={14: 1168, 0: 3194, 13: 764, 6: 408, 7: 512, 8: 0}
2026-02-28 14:52:08,727 INFO: n_caps=7 | minZ=0.054043 | placement={0: 1168, 13: 3194, 6: 764, 7: 408, 8: 512, 10: 0, 9: 2451}
2026-02-28 14:52:49,129 INFO: n_caps=8 | minZ=0.053051 | placement={13: 1168, 6: 3194, 7: 764, 8: 408, 10: 512, 9: 0, 0: 2451, 5: 155}
2026-02-28 14:53:31,605 INFO: n_caps=9 | minZ=0.055288 | placement={6: 1168, 7: 3194, 8: 764, 10: 408, 9: 512, 0: 0, 5: 2451, 16: 155, 14: 2280}
2026-02-28 14:54:19,395 INFO: n_caps=10 | minZ=0.048826 | placement={7: 1168, 8: 3194, 10: 764, 9: 408, 0: 512, 5: 0, 16: 2451, 14: 155, 15: 2280, 6: 1141}
2026-02-28 14:55:01,591 INFO: n_caps=11 | minZ=0.047680 | placement={8: 1168, 10: 3194, 9: 764, 0: 408, 5: 512, 16: 0, 14: 2451, 15: 155, 6: 2280, 17: 1141, 7: 1269}
2026-02-28 14:55:45,994 INFO: n_caps=12 | minZ=0.040929 | placement={9: 1487, 15: 3134, 0: 1014, 3: 454, 10: 1570, 13: 0, 16: 2410, 6: 133, 18: 2206, 7: 1456, 5: 1363, 8: 1042}
