2026-02-28 18:59:00,028 INFO: n_caps=1 | minZ=0.094292 | placement={5: 1014}
2026-02-28 18:59:30,216 INFO: n_caps=2 | minZ=0.070599 | placement={0: 1014, 6: 960}
2026-02-28 19:00:13,893 INFO: n_caps=3 | minZ=0.060601 | placement={10: 685, 6: 1268, 0: 2590}
2026-02-28 19:01:10,939 INFO: n_caps=4 | minZ=0.059324 | placement={7: 395, 0: 990, 14: 1388, 6: 1459}
2026-02-28 19:02:20,322 INFO: n_caps=5 | minZ=0.049384 | placement={0: 1014, 12: 392, 9: 1393, 5: 1537, 1: 1369}
2026-02-28 19:03:43,587 INFO: n_caps=6 | minZ=0.053039 | placement={13: 0, 10: 1126, 14: 1414, 0: 1871, 15: 656, 8: 1015}
2026-02-28 19:05:19,908 INFO: n_caps=7 | minZ=0.046681 | placement={11: 890, 14: 1627, 0: 1012, 17: 374, 7: 884, 16: 664, 18: 1999}
2026-02-28 19:07:09,457 INFO: n_caps=8 | minZ=0.048146 | placement={12: 1523, 0: 609, 14: 596, 6: 778, 15: 1001, 16: 1869, 7: 2734, 9: 1535}
2026-02-28 19:09:12,001 INFO: n_caps=9 | minZ=0.047754 | placement={0: 1508, 14: 617, 6: 472, 15: 752, 16: 994, 7: 1823, 8: 2708, 5: 1530, 10: 2084}
2026-02-28 19:11:28,625 INFO: n_caps=10 | minZ=0.047359 | placement={14: 1566, 7: 373, 15: 380, 16: 714, 8: 747, 9: 1118, 6: 2797, 10: 1574, 0: 1102, 1: 0}
2026-02-28 19:13:58,618 INFO: n_caps=11 | minZ=0.041432 | placement={7: 2893, 5: 1044, 14: 3, 9: 855, 6: 1069, 4: 1271, 12: 1185, 8: 1361, 0: 1012, 3: 425, 1: 2347}
