2026-02-28 15:31:00,553 INFO: n_caps=1 | minZ=0.093198 | placement={14: 1012}
2026-02-28 15:31:18,110 INFO: n_caps=2 | minZ=0.054256 | placement={0: 1012, 9: 2667}
2026-02-28 15:31:36,105 INFO: n_caps=3 | minZ=0.065204 | placement={9: 1012, 0: 2667, 7: 0}
2026-02-28 15:31:54,611 INFO: n_caps=4 | minZ=0.047612 | placement={0: 1012, 7: 2667, 6: 0, 9: 1580}
2026-02-28 15:32:13,670 INFO: n_caps=5 | minZ=0.047898 | placement={6: 1909, 9: 2392, 13: 0, 0: 1012, 14: 614}
2026-02-28 15:32:33,109 INFO: n_caps=6 | minZ=0.057443 | placement={15: 1523, 4: 2141, 0: 1883, 5: 1014, 11: 3128, 6: 892}
2026-02-28 15:32:53,092 INFO: n_caps=7 | minZ=0.052659 | placement={14: 1492, 0: 2515, 6: 1824, 10: 933, 3: 3051, 9: 596, 7: 2542}
2026-02-28 15:33:13,526 INFO: n_caps=8 | minZ=0.049295 | placement={0: 899, 10: 253, 7: 1796, 5: 858, 8: 2780, 9: 899, 4: 2804, 14: 2598}
2026-02-28 15:33:34,452 INFO: n_caps=9 | minZ=0.046395 | placement={0: 1695, 19: 380, 14: 447, 6: 884, 7: 1179, 5: 1685, 15: 755, 16: 909, 20: 2796}
2026-02-28 15:33:55,772 INFO: n_caps=10 | minZ=0.046927 | placement={19: 1828, 10: 1527, 4: 23, 0: 1014, 5: 1150, 11: 1284, 16: 252, 20: 0, 1: 2482, 17: 2}
2026-02-28 15:34:17,557 INFO: n_caps=11 | minZ=0.053700 | placement={7: 605, 15: 2962, 8: 112, 0: 1567, 10: 2317, 14: 284, 19: 2255, 5: 1050, 9: 2400, 6: 575, 16: 2934}
2026-02-28 15:34:39,808 INFO: n_caps=12 | minZ=0.045459 | placement={9: 641, 10: 528, 16: 1270, 5: 1581, 8: 1202, 20: 597, 11: 1949, 7: 1309, 2: 0, 19: 743, 6: 498, 0: 1465}
2026-02-28 15:35:02,516 INFO: n_caps=13 | minZ=0.047743 | placement={9: 381, 15: 1666, 6: 1276, 8: 1628, 19: 1744, 10: 303, 11: 1928, 5: 1229, 18: 162, 12: 1558, 0: 686, 7: 2170, 1: 2337}
2026-02-28 15:35:25,716 INFO: n_caps=14 | minZ=0.039697 | placement={2: 1623, 7: 2353, 13: 2657, 4: 933, 8: 2636, 6: 636, 5: 593, 9: 2566, 10: 1628, 0: 1014, 11: 656, 12: 2910, 14: 1809, 15: 229}
