n_caps,iteration,runtime
1,0,2.0963697358965874
1,1,2.0922265611588955
1,2,2.0925055257976055
1,3,2.090920412912965
1,4,2.0962364841252565
1,5,2.101438826881349
1,6,2.094953483901918
1,7,2.097458067815751
1,8,2.106529608834535
1,9,2.09537264239043
1,10,2.1064009531401098
1,11,2.101684318855405
1,12,2.1150755928829312
1,13,2.1001435071229935
1,14,2.116499374154955
2,0,2.131881356239319
2,1,2.1152889290824533
2,2,2.131588433869183
2,3,2.138729806058109
2,4,2.128437388688326
2,5,2.114915678743273
2,6,2.126808077096939
2,7,2.109558541793376
2,8,2.1282938476651907
2,9,2.131180271040648
2,10,2.1122221308760345
2,11,2.121042937040329
2,12,2.1067634727805853
2,13,2.1259356867522
2,14,2.120130036957562
3,0,2.1336618028581142
3,1,2.1193284299224615
3,2,2.1585392840206623
3,3,2.150195329450071
3,4,2.1538273128680885
3,5,2.1471124100498855
3,6,2.139061462134123
3,7,2.1291334819979966
3,8,2.1552094942890108
3,9,2.128218375146389
3,10,2.1441836641170084
3,11,2.1319466941058636
3,12,2.146608257200569
3,13,2.133860677946359
3,14,2.191724298056215
4,0,2.1757883918471634
4,1,2.173454489558935
4,2,2.180421920027584
4,3,2.2123030959628522
4,4,2.1782709169201553
4,5,2.180580771062523
4,6,2.211033273022622
4,7,2.2212980459444225
4,8,2.1966721257194877
4,9,2.2317495802417397
4,10,2.2320147291757166
4,11,2.1921120951883495
4,12,2.2254439499229193
4,13,2.1980309700593352
4,14,2.1936836633831263
5,0,2.207325009163469
5,1,2.2817413937300444
5,2,2.256114801391959
5,3,2.220607465133071
5,4,2.2235910608433187
5,5,2.231519839260727
5,6,2.2087039723992348
5,7,2.2439376818947494
5,8,2.2261160109192133
5,9,2.1969617810100317
5,10,2.211852888111025
5,11,2.222096936777234
5,12,2.1898281942121685
5,13,2.2241033408790827
5,14,2.2121549900621176
6,0,2.256145056337118
6,1,2.3123756158165634
6,2,2.271865007933229
6,3,2.2527139862067997
6,4,2.259179421700537
6,5,2.2787013528868556
6,6,2.24954723007977
6,7,2.290694147814065
6,8,2.2905061449855566
6,9,2.2625853838399053
6,10,2.2758098202757537
6,11,2.2908546598628163
6,12,2.277409251779318
6,13,2.285632872954011
6,14,2.290062192827463
7,0,2.292518659029156
7,1,2.2707352498546243
7,2,2.346211534924805
7,3,2.294169965200126
7,4,2.3770001181401312
7,5,2.4003983018919826
7,6,2.3699454213492572
7,7,2.2845668690279126
7,8,2.3575417809188366
7,9,2.376283084973693
7,10,2.371144383214414
7,11,2.273929391056299
7,12,2.330318809952587
7,13,2.339589461684227
7,14,2.3483868278563023
8,0,2.281134618911892
8,1,2.2737596156075597
8,2,2.2764774248935282
8,3,2.3042239556089044
