2026-01-14 20:46:28,611 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-14 20:47:57,664 INFO: n_caps=2 | minZ=0.064766 | models=[1014, 1012] | nodes=[9, 10]
2026-01-14 20:49:29,233 INFO: n_caps=3 | minZ=0.054175 | models=[1014, 1012, 511] | nodes=[9, 10, 5]
2026-01-14 20:50:58,781 INFO: n_caps=4 | minZ=0.050437 | models=[1014, 1012, 510, 433] | nodes=[9, 10, 5, 14]
2026-01-14 20:52:25,798 INFO: n_caps=5 | minZ=0.047937 | models=[1014, 1012, 510, 433, 455] | nodes=[9, 10, 5, 14, 15]
2026-01-14 20:53:46,886 INFO: n_caps=6 | minZ=0.046289 | models=[1014, 1012, 510, 433, 456, 273] | nodes=[9, 10, 5, 14, 15, 6]
2026-01-14 20:55:11,117 INFO: n_caps=7 | minZ=0.044716 | models=[1014, 1012, 510, 433, 456, 273, 171] | nodes=[9, 10, 5, 14, 15, 6, 7]
2026-01-14 20:56:40,039 INFO: n_caps=8 | minZ=0.042671 | models=[1014, 1012, 513, 433, 455, 273, 171, 504] | nodes=[9, 10, 5, 14, 15, 6, 7, 16]
2026-01-14 20:58:09,514 INFO: n_caps=9 | minZ=0.042038 | models=[1014, 1012, 513, 433, 455, 273, 171, 504, 67] | nodes=[9, 10, 5, 14, 15, 6, 7, 16, 8]
2026-01-14 20:59:40,896 INFO: n_caps=10 | minZ=0.041882 | models=[1014, 1012, 514, 433, 456, 273, 171, 504, 67, 1289] | nodes=[9, 10, 5, 15, 14, 6, 7, 16, 8, 2]
2026-01-14 20:59:40,897 INFO: Threshold reached at n_caps=10
