n_caps | min_Z | models | nodes
0.085083 | [975, 1477] | [10, 16]
3 | 0.071408 | [972, 1773, 1002] | [10, 16, 6]
4 | 0.060798 | [972, 1773, 1002, 892] | [9, 16, 5, 6]
5 | 0.054011 | [971, 1773, 1002, 892, 898] | [9, 16, 5, 6, 10]
6 | 0.050644 | [971, 1774, 1002, 892, 898, 364] | [9, 16, 5, 6, 10, 14]
7 | 0.047817 | [971, 1774, 1002, 892, 898, 363, 685] | [9, 16, 5, 6, 10, 14, 15]
8 | 0.045616 | [971, 1774, 1002, 892, 898, 363, 689, 448] | [9, 16, 5, 6, 10, 14, 15, 7]
9 | 0.044727 | [971, 1774, 1002, 892, 898, 363, 689, 448, 699] | [8, 16, 5, 6, 9, 15, 14, 7, 10]
10 | 0.044640 | [971, 1774, 1002, 892, 898, 363, 689, 448, 699, 1975] | [8, 16, 5, 6, 9, 15, 14, 7, 10, 2]
11 | 0.043687 | [971, 1774, 1001, 892, 898, 363, 689, 447, 699, 1974, 121] | [7, 16, 4, 5, 9, 14, 15, 6, 10, 2, 8]
12 | 0.043410 | [971, 1774, 1000, 892, 898, 362, 690, 447, 699, 1975, 121, 183] | [7, 16, 4, 5, 9, 14, 15, 6, 10, 2, 8, 13]
13 | 0.043366 | [971, 1774, 1000, 892, 898, 362, 690, 447, 698, 1975, 121, 183, 32] | [7, 16, 4, 5, 9, 14, 15, 6, 10, 2, 8, 13, 11]
14 | 0.043246 | [971, 1774, 1000, 892, 898, 362, 690, 447, 698, 1975, 121, 183, 32, 63] | [7, 15, 4, 5, 9, 14, 16, 6, 10, 2, 8, 13, 11, 12]
15 | 0.043210 | [971, 1774, 1000, 892, 898, 362, 690, 447, 698, 1975, 121, 183, 33, 63, 205] | [7, 15, 4, 5, 9, 14, 16, 6, 10, 2, 8, 17, 11, 12, 3]
16 | 0.043198 | [971, 1774, 1000, 892, 899, 362, 690, 447, 698, 1975, 121, 183, 33, 63, 205, 1465] | [7, 15, 4, 5, 9, 14, 16, 6, 10, 2, 8, 17, 11, 12, 3, 1]
17 | 0.043190 | [971, 1774, 1000, 892, 899, 362, 690, 447, 698, 1975, 121, 183, 33, 63, 204, 1465, 1240] | [7, 14, 4, 5, 9, 15, 16, 6, 10, 2, 8, 17, 11, 12, 3, 20, 18]
18 | 0.043187 | [971, 1774, 999, 892, 899, 362, 690, 447, 698, 1975, 121, 183, 33, 63, 205, 1465, 1241, 1864] | [7, 14, 4, 5, 9, 15, 16, 6, 10, 2, 8, 17, 11, 12, 3, 1, 18, 19]
19 | 0.043176 | [972, 1774, 999, 892, 899, 362, 690, 448, 698, 1975, 121, 184, 33, 63, 205, 1467, 1240, 1864, 1190] | [7, 14, 4, 5, 9, 15, 16, 6, 10, 2, 8, 17, 11, 12, 3, 1, 18, 19, 20]
20 | 0.043244 | [972, 1774, 999, 892, 898, 362, 690, 448, 698, 1975, 121, 184, 33, 63, 206, 1467, 1240, 1865, 1190, 491] | [7, 14, 4, 5, 9, 15, 16, 6, 10, 2, 8, 17, 11, 12, 1, 3, 18, 19, 20, 13]
