nohup: ignoring input
--- Loading PDN data ---

===== METHOD: numpy =====
numpy | Run 01 | n_caps=3 | Z=0.058871 | Time=117.30s
numpy | Run 02 | n_caps=3 | Z=0.053310 | Time=128.39s
numpy | Run 03 | n_caps=3 | Z=0.049769 | Time=128.82s
numpy | Run 04 | n_caps=4 | Z=0.059350 | Time=169.68s
numpy | Run 05 | n_caps=4 | Z=0.057428 | Time=169.96s
numpy | Run 06 | n_caps=4 | Z=0.059305 | Time=158.18s
numpy | Run 07 | n_caps=5 | Z=0.053413 | Time=200.05s
numpy | Run 08 | n_caps=4 | Z=0.058104 | Time=147.67s
numpy | Run 09 | n_caps=4 | Z=0.059306 | Time=149.15s
numpy | Run 10 | n_caps=3 | Z=0.055598 | Time=107.70s
numpy | Run 11 | n_caps=4 | Z=0.057898 | Time=146.66s
numpy | Run 12 | n_caps=4 | Z=0.058645 | Time=162.22s
numpy | Run 13 | n_caps=3 | Z=0.059801 | Time=123.18s
numpy | Run 14 | n_caps=5 | Z=0.058506 | Time=194.55s
numpy | Run 15 | n_caps=3 | Z=0.051055 | Time=111.75s
numpy | Run 16 | n_caps=2 | Z=0.056079 | Time=72.32s
numpy | Run 17 | n_caps=4 | Z=0.048164 | Time=146.44s
numpy | Run 18 | n_caps=3 | Z=0.056591 | Time=113.33s
numpy | Run 19 | n_caps=4 | Z=0.044540 | Time=159.12s
numpy | Run 20 | n_caps=4 | Z=0.059305 | Time=151.95s

===== METHOD: solve =====
solve | Run 01 | n_caps=2 | Z=0.059434 | Time=34.94s
solve | Run 02 | n_caps=3 | Z=0.056235 | Time=52.67s
solve | Run 03 | n_caps=5 | Z=0.053810 | Time=90.22s
solve | Run 04 | n_caps=4 | Z=0.049641 | Time=79.31s
solve | Run 05 | n_caps=4 | Z=0.053314 | Time=90.83s
solve | Run 06 | n_caps=3 | Z=0.059907 | Time=67.54s
solve | Run 07 | n_caps=4 | Z=0.048685 | Time=91.20s
solve | Run 08 | n_caps=2 | Z=0.056169 | Time=34.85s
solve | Run 09 | n_caps=2 | Z=0.058281 | Time=34.73s
solve | Run 10 | n_caps=4 | Z=0.057213 | Time=81.15s
solve | Run 11 | n_caps=4 | Z=0.047225 | Time=91.74s
solve | Run 12 | n_caps=4 | Z=0.054010 | Time=91.40s
solve | Run 13 | n_caps=4 | Z=0.059684 | Time=90.90s
solve | Run 14 | n_caps=3 | Z=0.043882 | Time=67.36s
solve | Run 15 | n_caps=4 | Z=0.050992 | Time=90.87s
solve | Run 16 | n_caps=3 | Z=0.053345 | Time=66.99s
solve | Run 17 | n_caps=3 | Z=0.047974 | Time=67.51s
solve | Run 18 | n_caps=3 | Z=0.049875 | Time=67.82s
solve | Run 19 | n_caps=3 | Z=0.048859 | Time=67.30s
solve | Run 20 | n_caps=3 | Z=0.058674 | Time=67.33s

===== METHOD: sm =====
sm | Run 01 | n_caps=2 | Z=0.053068 | Time=58.82s
sm | Run 02 | n_caps=3 | Z=0.048889 | Time=113.08s
sm | Run 03 | n_caps=5 | Z=0.054991 | Time=268.66s
sm | Run 04 | n_caps=2 | Z=0.058439 | Time=47.39s
sm | Run 05 | n_caps=3 | Z=0.052937 | Time=90.30s
sm | Run 06 | n_caps=2 | Z=0.056892 | Time=47.03s
sm | Run 07 | n_caps=3 | Z=0.046893 | Time=90.50s
sm | Run 08 | n_caps=5 | Z=0.044018 | Time=217.08s
sm | Run 09 | n_caps=4 | Z=0.057301 | Time=147.10s
sm | Run 10 | n_caps=4 | Z=0.054562 | Time=146.99s
sm | Run 11 | n_caps=4 | Z=0.055546 | Time=148.09s
sm | Run 12 | n_caps=4 | Z=0.049213 | Time=149.47s
sm | Run 13 | n_caps=2 | Z=0.052963 | Time=46.63s
sm | Run 14 | n_caps=3 | Z=0.046473 | Time=90.78s
sm | Run 15 | n_caps=3 | Z=0.058000 | Time=90.41s
sm | Run 16 | n_caps=2 | Z=0.052018 | Time=47.14s
sm | Run 17 | n_caps=4 | Z=0.056626 | Time=147.68s
sm | Run 18 | n_caps=4 | Z=0.056487 | Time=147.65s
sm | Run 19 | n_caps=4 | Z=0.049239 | Time=147.51s
sm | Run 20 | n_caps=3 | Z=0.056752 | Time=91.11s

===== METHOD: iterative =====
iterative | Run 01 | n_caps=5 | Z=0.048495 | Time=206.05s
iterative | Run 02 | n_caps=2 | Z=0.057545 | Time=78.50s
